,p1,p2,p3,average,accumulated,win_ratio,max_win,max_loss
7516,25.0,31.0,6.0,0.106,4.227,0.5,0.97,-0.134
7517,25.0,31.0,7.0,0.123,4.299,0.571,0.97,-0.134
7518,25.0,31.0,8.0,0.126,3.902,0.548,0.731,-0.134
7519,25.0,31.0,9.0,0.129,3.874,0.567,0.731,-0.15
7520,25.0,31.0,10.0,0.132,3.832,0.517,0.731,-0.15
7521,25.0,31.0,11.0,0.135,3.784,0.536,0.731,-0.15
7522,25.0,31.0,12.0,0.156,4.057,0.577,0.731,-0.13
7523,25.0,31.0,13.0,0.153,3.968,0.538,0.731,-0.13
7524,25.0,31.0,14.0,0.148,3.857,0.538,0.748,-0.105
7525,25.0,31.0,15.0,0.162,4.051,0.52,0.795,-0.105
7526,25.0,31.0,16.0,0.166,3.985,0.542,0.774,-0.105
7527,25.0,31.0,17.0,0.167,4.0,0.542,0.794,-0.105
7528,25.0,31.0,18.0,0.168,3.861,0.565,0.776,-0.14
7529,25.0,31.0,19.0,0.162,3.735,0.565,0.797,-0.196
7530,25.0,32.0,5.0,0.086,4.046,0.426,0.97,-0.134
7531,25.0,32.0,6.0,0.109,4.236,0.538,0.97,-0.134
7532,25.0,32.0,7.0,0.114,4.001,0.543,0.97,-0.134
7533,25.0,32.0,8.0,0.126,3.917,0.548,0.731,-0.134
7534,25.0,32.0,9.0,0.124,3.73,0.467,0.731,-0.15
7535,25.0,32.0,10.0,0.128,3.708,0.517,0.731,-0.15
7536,25.0,32.0,11.0,0.146,3.934,0.556,0.731,-0.15
7537,25.0,32.0,12.0,0.161,4.196,0.577,0.731,-0.13
7538,25.0,32.0,13.0,0.143,3.87,0.519,0.731,-0.13
7539,25.0,32.0,14.0,0.145,3.926,0.519,0.795,-0.105
7540,25.0,32.0,15.0,0.175,4.02,0.565,0.774,-0.105
7541,25.0,32.0,16.0,0.167,4.0,0.542,0.794,-0.105
7542,25.0,32.0,17.0,0.167,3.847,0.565,0.776,-0.14
7543,25.0,32.0,18.0,0.172,3.795,0.591,0.797,-0.196
7544,25.0,32.0,19.0,0.156,3.589,0.565,0.754,-0.26
7545,25.0,33.0,5.0,0.095,4.075,0.465,0.97,-0.134
7546,25.0,33.0,6.0,0.112,4.245,0.526,0.97,-0.134
7547,25.0,33.0,7.0,0.124,4.204,0.5,0.97,-0.134
7548,25.0,33.0,8.0,0.131,3.933,0.533,0.731,-0.134
7549,25.0,33.0,9.0,0.118,3.54,0.467,0.731,-0.15
7550,25.0,33.0,10.0,0.135,3.773,0.536,0.731,-0.15
7551,25.0,33.0,11.0,0.145,3.911,0.556,0.731,-0.15
7552,25.0,33.0,12.0,0.144,3.89,0.519,0.731,-0.13
7553,25.0,33.0,13.0,0.139,3.76,0.519,0.731,-0.13
7554,25.0,33.0,14.0,0.159,3.987,0.52,0.774,-0.105
7555,25.0,33.0,15.0,0.168,4.042,0.542,0.794,-0.105
7556,25.0,33.0,16.0,0.172,3.96,0.565,0.776,-0.105
7557,25.0,33.0,17.0,0.168,3.868,0.565,0.797,-0.14
7558,25.0,33.0,18.0,0.167,3.676,0.591,0.754,-0.196
7559,25.0,33.0,19.0,0.131,3.017,0.522,0.691,-0.26
7560,25.0,34.0,5.0,0.091,3.999,0.455,0.97,-0.134
7561,25.0,34.0,6.0,0.111,4.214,0.526,0.97,-0.134
7562,25.0,34.0,7.0,0.13,4.152,0.5,0.97,-0.134
7563,25.0,34.0,8.0,0.126,3.897,0.452,0.731,-0.134
7564,25.0,34.0,9.0,0.119,3.568,0.467,0.731,-0.15
7565,25.0,34.0,10.0,0.131,3.79,0.517,0.731,-0.15
7566,25.0,34.0,11.0,0.151,4.077,0.556,0.731,-0.15
7567,25.0,34.0,12.0,0.147,3.97,0.519,0.731,-0.15
7568,25.0,34.0,13.0,0.159,3.986,0.52,0.774,-0.105
7569,25.0,34.0,14.0,0.159,3.969,0.52,0.774,-0.105
7570,25.0,34.0,15.0,0.166,3.985,0.542,0.794,-0.105
7571,25.0,34.0,16.0,0.169,3.882,0.565,0.797,-0.14
7572,25.0,34.0,17.0,0.175,3.846,0.591,0.754,-0.161
7573,25.0,34.0,18.0,0.143,3.291,0.522,0.691,-0.26
7574,25.0,34.0,19.0,0.128,3.07,0.5,0.717,-0.26
7575,25.0,35.0,5.0,0.096,4.017,0.476,0.97,-0.134
7576,25.0,35.0,6.0,0.104,3.951,0.474,0.97,-0.134
7577,25.0,35.0,7.0,0.116,3.823,0.485,0.695,-0.134
7578,25.0,35.0,8.0,0.119,3.69,0.452,0.731,-0.15
7579,25.0,35.0,9.0,0.121,3.626,0.467,0.731,-0.15
7580,25.0,35.0,10.0,0.13,3.784,0.483,0.731,-0.15
7581,25.0,35.0,11.0,0.149,4.022,0.556,0.731,-0.15
7582,25.0,35.0,12.0,0.15,3.904,0.5,0.731,-0.15
7583,25.0,35.0,13.0,0.15,3.899,0.5,0.774,-0.125
7584,25.0,35.0,14.0,0.167,4.014,0.542,0.794,-0.105
7585,25.0,35.0,15.0,0.171,3.939,0.565,0.776,-0.125
7586,25.0,35.0,16.0,0.176,3.878,0.591,0.797,-0.161
7587,25.0,35.0,17.0,0.15,3.461,0.522,0.754,-0.26
7588,25.0,35.0,18.0,0.126,3.02,0.5,0.691,-0.26
7589,25.0,35.0,19.0,0.134,3.077,0.522,0.717,-0.26
7590,25.0,36.0,5.0,0.1,4.081,0.463,0.97,-0.134
7591,25.0,36.0,6.0,0.104,3.952,0.474,0.97,-0.134
7592,25.0,36.0,7.0,0.116,3.813,0.485,0.695,-0.134
7593,25.0,36.0,8.0,0.123,3.68,0.467,0.695,-0.15
7594,25.0,36.0,9.0,0.121,3.621,0.467,0.731,-0.15
7595,25.0,36.0,10.0,0.129,3.741,0.483,0.731,-0.15
7596,25.0,36.0,11.0,0.149,4.024,0.556,0.731,-0.15
7597,25.0,36.0,12.0,0.158,3.947,0.52,0.774,-0.15
7598,25.0,36.0,13.0,0.142,3.824,0.481,0.794,-0.125
7599,25.0,36.0,14.0,0.164,3.935,0.542,0.776,-0.125
7600,25.0,36.0,15.0,0.156,3.745,0.5,0.797,-0.125
7601,25.0,36.0,16.0,0.16,3.682,0.522,0.754,-0.161
7602,25.0,36.0,17.0,0.142,3.261,0.522,0.691,-0.26
7603,25.0,36.0,18.0,0.133,3.059,0.522,0.717,-0.26
7604,25.0,36.0,19.0,0.135,3.096,0.522,0.717,-0.26
7605,25.0,37.0,5.0,0.099,4.04,0.488,0.97,-0.134
7606,25.0,37.0,6.0,0.117,4.203,0.444,0.97,-0.134
7607,25.0,37.0,7.0,0.122,3.785,0.484,0.695,-0.134
7608,25.0,37.0,8.0,0.118,3.542,0.467,0.695,-0.15
7609,25.0,37.0,9.0,0.122,3.649,0.467,0.731,-0.15
7610,25.0,37.0,10.0,0.136,3.805,0.5,0.731,-0.15
7611,25.0,37.0,11.0,0.143,4.007,0.464,0.731,-0.15
7612,25.0,37.0,12.0,0.135,3.77,0.429,0.774,-0.125
7613,25.0,37.0,13.0,0.145,3.782,0.462,0.794,-0.125
7614,25.0,37.0,14.0,0.153,3.826,0.48,0.797,-0.125
7615,25.0,37.0,15.0,0.16,3.689,0.522,0.754,-0.161
7616,25.0,37.0,16.0,0.155,3.554,0.522,0.691,-0.171
7617,25.0,37.0,17.0,0.132,3.027,0.522,0.691,-0.26
7618,25.0,37.0,18.0,0.134,3.083,0.522,0.717,-0.26
7619,25.0,37.0,19.0,0.145,3.199,0.545,0.717,-0.26
7620,25.0,38.0,5.0,0.101,3.956,0.487,0.97,-0.134
7621,25.0,38.0,6.0,0.121,4.222,0.457,0.97,-0.134
7622,25.0,38.0,7.0,0.12,3.729,0.452,0.695,-0.134
7623,25.0,38.0,8.0,0.115,3.562,0.452,0.695,-0.15
7624,25.0,38.0,9.0,0.119,3.564,0.467,0.695,-0.15
7625,25.0,38.0,10.0,0.137,3.834,0.5,0.731,-0.15
7626,25.0,38.0,11.0,0.145,3.911,0.481,0.731,-0.15
7627,25.0,38.0,12.0,0.134,3.741,0.429,0.794,-0.125
7628,25.0,38.0,13.0,0.146,3.785,0.462,0.797,-0.125
7629,25.0,38.0,14.0,0.164,3.775,0.522,0.754,-0.125
7630,25.0,38.0,15.0,0.162,3.721,0.522,0.754,-0.161
7631,25.0,38.0,16.0,0.15,3.439,0.522,0.691,-0.171
7632,25.0,38.0,17.0,0.132,3.037,0.522,0.691,-0.26
7633,25.0,38.0,18.0,0.141,3.107,0.545,0.717,-0.26
7634,25.0,38.0,19.0,0.145,3.195,0.545,0.717,-0.26
7635,25.0,39.0,5.0,0.101,3.937,0.487,0.97,-0.134
7636,25.0,39.0,6.0,0.123,4.185,0.471,0.97,-0.134
7637,25.0,39.0,7.0,0.117,3.746,0.438,0.695,-0.134
7638,25.0,39.0,8.0,0.115,3.561,0.452,0.695,-0.15
7639,25.0,39.0,9.0,0.126,3.66,0.483,0.695,-0.15
7640,25.0,39.0,10.0,0.147,3.957,0.481,0.695,-0.15
7641,25.0,39.0,11.0,0.14,3.785,0.444,0.774,-0.15
7642,25.0,39.0,12.0,0.126,3.666,0.414,0.815,-0.125
7643,25.0,39.0,13.0,0.158,3.798,0.5,0.754,-0.125
7644,25.0,39.0,14.0,0.164,3.778,0.522,0.754,-0.125
7645,25.0,39.0,15.0,0.157,3.605,0.522,0.691,-0.161
7646,25.0,39.0,16.0,0.135,3.116,0.522,0.691,-0.171
7647,25.0,39.0,17.0,0.134,3.078,0.522,0.717,-0.26
7648,25.0,39.0,18.0,0.142,3.116,0.545,0.717,-0.26
7649,25.0,39.0,19.0,0.145,3.195,0.545,0.717,-0.26
7650,25.0,40.0,5.0,0.098,3.931,0.475,0.97,-0.134
7651,25.0,40.0,6.0,0.125,4.117,0.485,0.97,-0.134
7652,25.0,40.0,7.0,0.117,3.753,0.438,0.695,-0.134
7653,25.0,40.0,8.0,0.114,3.531,0.452,0.695,-0.15
7654,25.0,40.0,9.0,0.134,3.75,0.464,0.695,-0.15
7655,25.0,40.0,10.0,0.139,3.88,0.464,0.695,-0.15
7656,25.0,40.0,11.0,0.131,3.797,0.414,0.815,-0.15
